timestamp_ns,mode,fsm,rl_type,obs_00_base_ang_vel_x_scaled,obs_01_base_ang_vel_y_scaled,obs_02_base_ang_vel_z_scaled,obs_03_projected_gravity_x,obs_04_projected_gravity_y,obs_05_projected_gravity_z,obs_06_abad_l_position_offset_scaled,obs_07_hip_l_position_offset_scaled,obs_08_knee_l_position_offset_scaled,obs_09_abad_r_position_offset_scaled,obs_10_hip_r_position_offset_scaled,obs_11_knee_r_position_offset_scaled,obs_12_abad_l_velocity_scaled,obs_13_hip_l_velocity_scaled,obs_14_knee_l_velocity_scaled,obs_15_wheel_l_velocity_scaled,obs_16_abad_r_velocity_scaled,obs_17_hip_r_velocity_scaled,obs_18_knee_r_velocity_scaled,obs_19_wheel_r_velocity_scaled,obs_20_last_action_abad_l,obs_21_last_action_hip_l,obs_22_last_action_knee_l,obs_23_last_action_wheel_l,obs_24_last_action_abad_r,obs_25_last_action_hip_r,obs_26_last_action_knee_r,obs_27_last_action_wheel_r
1788509070406313816,sim,WALK,isaacgym,0.003298244,0.008863093,-0.000425719,0.046994939,0.005837843,-0.998878068,0.076071411,0.054865022,-0.053161929,-0.123747498,-0.046830152,0.085255752,-0.000605963,0.004550748,-0.002114282,-0.032008439,-0.000383192,0.000540066,0.002073842,-0.010745154,-0.540123284,0.599340558,-2.334401131,-2.062403679,0.506081700,-0.499492079,2.046358109,-1.145068645
1788509070426415282,sim,WALK,isaacgym,0.003253006,0.012697122,0.000324852,0.047787466,0.005601720,-0.998841819,0.075868115,0.056580638,-0.053848634,-0.123875394,-0.046766793,0.085905800,-0.000528889,0.004984174,-0.001704415,-0.036690414,-0.000331623,-0.000211654,0.001548503,-0.016058752,-0.552589417,0.606427789,-2.327634335,-2.087983131,0.512620389,-0.504242182,2.053254128,-1.273486495
1788509070446438115,sim,WALK,isaacgym,0.003157238,0.015537039,0.001054724,0.048817281,0.005368088,-0.998793300,0.075691588,0.058433925,-0.054377089,-0.123986997,-0.046992262,0.086354086,-0.000455267,0.005301757,-0.001244373,-0.039766380,-0.000290342,-0.001029642,0.000964937,-0.020529306,-0.562693059,0.614340365,-2.322784424,-2.024073362,0.517365158,-0.509400606,2.060695171,-1.338323474
1788509070466395452,sim,WALK,isaacgym,0.002901607,0.017776404,0.001591926,0.050026645,0.005144480,-0.998734634,0.075545982,0.060362403,-0.054735670,-0.124080405,-0.047490497,0.086592684,-0.000353156,0.005394788,-0.000765870,-0.041181770,-0.000226124,-0.001702614,0.000392646,-0.023870952,-0.570002615,0.622617364,-2.320471764,-1.877646804,0.520525515,-0.514707148,2.068062305,-1.338401198
1788509070486370536,sim,WALK,isaacgym,0.002567421,0.019463878,0.001866095,0.051377170,0.004941169,-0.998667097,0.075438097,0.062279453,-0.054922531,-0.124150306,-0.048195143,0.086629877,-0.000246400,0.005252552,-0.000290594,-0.040943113,-0.000160345,-0.002188972,-0.000155738,-0.025974524,-0.574569941,0.630409956,-2.319909811,-1.657842398,0.522126794,-0.520774007,2.075186491,-1.277235150
1788509070506341371,sim,WALK,isaacgym,0.002086434,0.020342873,0.001921470,0.052820546,0.004766166,-0.998592646,0.075374156,0.064112281,-0.054936299,-0.124191508,-0.049048846,0.086474965,-0.000108256,0.004943628,0.000196833,-0.039060307,-0.000065724,-0.002550982,-0.000677607,-0.026837444,-0.576088428,0.637558162,-2.321241379,-1.371584415,0.522121906,-0.528180361,2.081831455,-1.157167435
1788509070526354665,sim,WALK,isaacgym,0.001352424,0.020120835,0.001837249,0.054368337,0.004627420,-0.998510226,0.075369619,0.065900062,-0.054756830,-0.124189265,-0.050077235,0.086113760,0.000085337,0.004486780,0.000728782,-0.035288605,0.000080831,-0.002863673,-0.001194560,-0.026431563,-0.574720681,0.643745661,-2.323772430,-1.025914431,0.520359635,-0.536377370,2.088409424,-0.982021332
1788509070546397748,sim,WALK,isaacgym,0.000373882,0.018473001,0.001693367,0.055845308,0.004554593,-0.998429045,0.075449079,0.067493891,-0.054372380,-0.124120839,-0.051217024,0.085564623,0.000329804,0.003949706,0.001271417,-0.029716203,0.000278782,-0.003156008,-0.001666569,-0.024640919,-0.570290744,0.649661183,-2.327543974,-0.624238014,0.516248941,-0.546121538,2.096061945,-0.752777398
1788509070566402254,sim,WALK,isaacgym,-0.000658193,0.016147463,0.001544486,0.057094737,0.004559245,-0.998358355,0.075614035,0.068799217,-0.053825567,-0.123981938,-0.052381461,0.084893892,0.000578748,0.003301759,0.001740094,-0.023211995,0.000487050,-0.003301056,-0.002032936,-0.021826956,-0.563398361,0.653801620,-2.330996037,-0.177857608,0.509737432,-0.555050194,2.104050398,-0.479210109
1788509070586352193,sim,WALK,isaacgym,-0.001755544,0.013048432,0.001464269,0.058143518,0.004641153,-0.998297446,0.075869970,0.069832807,-0.053116868,-0.123766132,-0.053573405,0.084102879,0.000832545,0.002431949,0.002175233,-0.015154867,0.000702990,-0.003292397,-0.002341454,-0.017755623,-0.555435717,0.655517280,-2.330446243,0.296670854,0.501916349,-0.561771989,2.110152006,-0.177436307
1788509070606454041,sim,WALK,isaacgym,-0.002804330,0.009381919,0.001431423,0.058947890,0.004800106,-0.998249521,0.076233618,0.070546960,-0.052202950,-0.123459168,-0.054800083,0.083152900,0.001072402,0.001351580,0.002621869,-0.005442340,0.000904651,-0.003156176,-0.002645278,-0.012371652,-0.546212435,0.655916572,-2.324797392,0.768618643,0.492585719,-0.567440212,2.115149021,0.131268397
1788509070626497430,sim,WALK,isaacgym,-0.003907248,0.005150597,0.001467098,0.059494054,0.005049293,-0.998215890,0.076659337,0.070850109,-0.051183412,-0.123100355,-0.055893202,0.082153926,0.001284359,0.000349159,0.003025009,0.003862904,0.001081168,-0.002921656,-0.002888736,-0.006610113,-0.535540283,0.654839516,-2.315687895,1.205614448,0.480915040,-0.573075235,2.122022152,0.425216883
1788509070646465603,sim,WALK,isaacgym,-0.004836592,0.001225210,0.001645048,0.059715199,0.005359424,-0.998201068,0.077153236,0.070767169,-0.050028811,-0.122686006,-0.056894426,0.081076095,0.001442585,-0.000791851,0.003362596,0.013439436,0.001204660,-0.002640347,-0.003081717,-0.000852986,-0.524345636,0.653349996,-2.306699038,1.587218642,0.467066973,-0.575878799,2.127949953,0.696909189
1788509070666466582,sim,WALK,isaacgym,-0.005497710,-0.002393573,0.001805896,0.059669219,0.005704924,-0.998201903,0.077658921,0.070308973,-0.048842440,-0.122266427,-0.057739695,0.080005298,0.001520930,-0.001853749,0.003594725,0.022099254,0.001253466,-0.002318016,-0.003200005,0.004577144,-0.512585700,0.651056945,-2.298429728,1.892844081,0.452476352,-0.577666163,2.134900570,0.936455905
1788509070686308804,sim,WALK,isaacgym,-0.005959527,-0.006730367,0.001842252,0.059317643,0.006134498,-0.998220309,0.078240238,0.069414993,-0.047442088,-0.121792048,-0.058553298,0.078776906,0.001520662,-0.002773897,0.003744961,0.030664968,0.001227061,-0.001968254,-0.003245629,0.010596897,-0.500813186,0.649093628,-2.294258356,2.120125294,0.437625766,-0.578696370,2.141775131,1.145571470
1788509070706343546,sim,WALK,isaacgym,-0.005830949,-0.010879642,0.001723360,0.058674023,0.006554202,-0.998255679,0.078763127,0.068288987,-0.046100209,-0.121377729,-0.059194376,0.077621469,0.001370718,-0.003441722,0.003662475,0.037349135,0.001063376,-0.001576546,-0.003139617,0.016080119,-0.487966835,0.646281123,-2.298974991,2.251536131,0.422686517,-0.578006685,2.149417400,1.309729099
1788509070726307669,sim,WALK,isaacgym,-0.005419783,-0.014596348,0.001467279,0.057744795,0.006953625,-0.998307160,0.079217263,0.066958879,-0.044836531,-0.121033646,-0.059680452,0.076546321,0.001148264,-0.003946280,0.003316022,0.042240509,0.000846046,-0.001082858,-0.002799935,0.020872760,-0.475357115,0.642460883,-2.307902098,2.292171478,0.409822285,-0.575691819,2.156763554,1.426067472
1788509070746336749,sim,WALK,isaacgym,-0.004634810,-0.017507942,0.001120698,0.056576757,0.007311405,-0.998371481,0.079574503,0.065456946,-0.043752501,-0.120780788,-0.059955676,0.075639853,0.000835009,-0.004405615,0.002679821,0.045416015,0.000558394,-0.000410434,-0.002218897,0.024942194,-0.464196384,0.637935996,-2.320461512,2.246016741,0.399355948,-0.571298182,2.160686970,1.491850257
1788509070766329803,sim,WALK,isaacgym,-0.003460112,-0.019295374,0.000566624,0.055163811,0.007614665,-0.998448281,0.079812735,0.063689326,-0.042913387,-0.120638609,-0.059932237,0.074958036,0.000433007,-0.004909007,0.001731302,0.046932089,0.000204461,0.000567411,-0.001364372,0.028392667,-0.454590619,0.632590294,-2.334182739,2.119088888,0.392526954,-0.564999342,2.159812927,1.505005360
1788509070786320504,sim,WALK,isaacgym,-0.002217190,-0.019945597,-0.000078282,0.053739398,0.007818292,-0.998524387,0.079895146,0.061847602,-0.042486022,-0.120626703,-0.059541022,0.074645767,0.000033749,-0.005336200,0.000658143,0.046700591,-0.000131043,0.001612976,-0.000395063,0.030648631,-0.447309375,0.624654591,-2.346146345,1.908288598,0.389937669,-0.556242406,2.152566195,1.456680179
